,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
11,Sandro | Ruotolo,S-D,IT,257170,257170," – Signora Presidente, onorevoli colleghe e colleghi, la situazione in Italia sta diventando sempre più pesante. Sono ormai 29 i giornalisti che, per il loro lavoro, sono costretti a vivere sotto protezione dello Stato, perché minacciati di morte dalla criminalità organizzata.
L'attentato a Sigfrido Ranucci, giornalista e conduttore di Report, la trasmissione di approfondimento giornalistico della RAI, è un fatto gravissimo che riporta l'Italia indietro nel tempo, quando mafia e terrorismo ammazzavano i giornalisti. Nella notte del 16 ottobre, a Roma, una bomba è esplosa davanti a casa sua: due auto distrutte, una scena di guerra – poteva esserci il morto. Otto anni fa, il 16 ottobre, a Malta, una giornalista d'inchiesta – come Sigfrido Ranucci – veniva uccisa con un'autobomba: era Daphne Caruana Galizia.
C'è modo e modo per zittire un giornalista: con l'intimidazione, l'omicidio, la delegittimazione, le querele temerarie, lo spionaggio illegale. E colpire un giornalista significa colpire la democrazia. Ha ragione il commissario McGrath: la libertà di stampa non è negoziabile in Europa. Ma non bastano le parole.
Do solo il titolo di questo dibattito, su proposta dei Socialisti e Democratici: ""Le intimidazioni criminali contro dei giornalisti d'inchiesta nell'Unione europea – L'attentato a Sigfrido Ranucci"". Mi auguro che ci sia il consenso di tutti.",au nom du groupe
13,Bert-Jan | Ruissen,ECR,NL,197773,197773," – Voorzitter, inderdaad, het betreft een verzoek van de ECR-Fractie op initiatief van de Franse collega's en onze fractie. Maandagochtend werd er ingebroken in het Louvre. Onschatbare Franse nationale schatten werden gestolen na een reeks storingen en twijfelachtige beslissingen die de veiligheid van het museum in gevaar brachten.
Het is niet de eerste keer dat er in Europese musea wordt ingebroken. Ook Nederland werd in januari geconfronteerd met een dergelijke diefstal in het Drents Museum in Assen, waarbij meesterwerken uit de Roemeense geschiedenis werden gestolen. We zien ook regelmatig historische gebouwen of kerken die aan verval worden overgelaten of doelwit worden van vernielingen. Daarom wil de ECR-Fractie een extra debat voorstellen met als titel: “Inbraak in het Louvre: het belang van de bescherming van het Europees cultureel erfgoed tegen diefstal en vernietiging”.",au nom du groupe
15,Nathalie | Loiseau,Renew,FR,197494,197494," – Madame la Présidente, nous avons appris il y a quelques jours que le président Poutine avait appelé le président Trump et que le président Trump avait trouvé que c'était une très bonne conversation. Nous avons appris ensuite que le président Trump avait reçu le président Zelensky et qu'il avait refusé de lui livrer des missiles Tomahawk, et que cela s'était en réalité très mal passé. Nous apprenons maintenant que le président Trump veut rencontrer le président Poutine à Budapest.
Au vu de ces derniers développements, je souhaite en effet demander l'ajout du débat suivant, mercredi, en troisième position, sans résolution: «Déclarations du Conseil et de la Commission – La nécessité d'un soutien uni à l'Ukraine et d'une paix juste et durable, décidée par l'Ukraine avec les Européens et sans plier face aux conditions de Vladimir Poutine, en amont de ce qui s'appellerait le sommet annoncé à Budapest».",au nom du groupe
17,Fabienne | Keller,Renew,FR,22858,22858," – Madame la Présidente, je me réfère à l'article 202 du règlement intérieur sur les points de l'ordre du jour.
Il y a cinq ans, le professeur Samuel Paty était assassiné pour avoir enseigné la liberté d'expression. Il y a deux ans, c'est le professeur Dominique Bernard qui a été tué à son tour, victime du terrorisme. Ces deux enseignants incarnent ce que l'Europe défend. Leur mémoire nous oblige.
Dans un contexte où les discours de haine et l'obscurantisme progressent, il nous revient de protéger l'école, de protéger la liberté d'expression et la tolérance, piliers de notre modèle européen. C'est pour cela, Madame la Présidente, que je souhaite et propose que cette assemblée leur rende hommage et réaffirme solennellement son attachement aux valeurs communes qui forgent notre Union.",
18,Alessandra | Moretti,S-D,IT,124799,124799," – Signora Presidente, onorevoli colleghi, lo scorso settembre due avvocatesse italiane hanno chiesto all'Alto Commissario delle Nazioni Unite per i diritti umani di aprire un'inchiesta formale, ancora oggi priva di risposta, sulla situazione dell'attivista curda, Pakhshan Azizi, arrestata in Iran nel 2023 e condannata a morte nel 2024 per aver fornito aiuti umanitari a donne e bambini in fuga dagli attacchi dello Stato islamico.
L'ONU ha dichiarato che nel 2025, in soli nove mesi, più di mille persone sono state giustiziate in Iran: si tratta di condanne perpetrate in seguito a processi a porte chiuse, iniqui, in un contesto di pratiche di tortura e confessioni estorte con la forza.
L'Unione europea dovrà supportare il reclamo presentato all'ONU a sostegno di Pakhshan Azizi e fare pressione affinché questo riceva riscontro nel minor tempo possibile. Facciamoci portatori di un'azione diplomatica concreta e coordinata per fermare l'ondata di esecuzioni in atto.",
19,Assita | Kanko,ECR,EN,197469,197469," – Madam President, as a staunch defender of democratic principles and the rule of law, I am profoundly appalled by the incarceration of former French President Nicolas Sarkozy. This decision strikes at the heart of our shared European values, transforming a man who boldly led France through economic turmoil and global crisis into a symbol of judicial overreach. Sarkozy's conviction, rooted in allegations long-contested and in procedural ambiguities, reeks of selective prosecution, a dangerous precedent that undermines the presumption of innocence and erodes public trust in institutions.
Of course, no one is above the law – not even a former president – but no one deserves to be denied their fundamental legal rights either. As Members of Parliament, it is our duty to question a system in which the rule of law appears to be eroding. As a Member of Parliament, I therefore call on the French authorities, the European Parliament and fellow MEPs to demand a thorough review of the rule of law in France. It is our responsibility to make justice serve the people, not settle scores.",
20,Manon | Aubry,The Left,FR,197533,197533," – Madame la Présidente, juste pour dire que ce plaidoyer très touchant en faveur d'un ancien président de la République, qui a été condamné pour des faits extrêmement graves, n'a pas sa place dans l'hémicycle, que personne n'est au-dessus de la loi, même pas un ancien président de la République, a fortiori quand il a été condamné pour des faits extrêmement graves de corruption.
Si vous voulez donner des leçons sur l'état de droit, allez voir ce que fait Viktor Orban en Hongrie, allez voir ce que font tous vos alliés de l'extrême droite partout en Europe. L'état de droit est un et indivisible et nous ne laisserons personne le piétiner!",
21,Fabio | De Masi,NI,DE,124858,124858," – Frau Präsidentin! Ich beziehe mich auf Artikel 167 der Geschäftsordnung. Der deutsche Generalbundesanwalt ermittelt derzeit zu einem mutmaßlich staatsterroristischen Anschlag auf die deutsche Energieinfrastruktur – auf Nord Stream. Wir mögen unterschiedliche Auffassungen in diesem Haus haben zur Notwendigkeit, auch Gas aus Russland zu beziehen. Ich bin persönlich der Auffassung, dass wir uns nicht alleine von Donald Trump und teurem US‑Frackinggas abhängig machen sollten.
Wenn aber ein polnisches Gericht einen Europäischen Haftbefehl nicht umsetzt und der polnische Ministerpräsident erklärt, dass das eigentliche Verbrechen nicht die Sprengung von Nord Stream sei – und ein Terrorist nicht ausgeliefert wird –, sondern der Bau von Nord Stream, dann gehen wir an die Fundamente der europäischen Zusammenarbeit. Ich finde, dies ist etwas, wozu eine deutsche EU-Kommissionspräsidentin, ein deutscher Bundeskanzler und auch das Europäische Parlament nicht schweigen darf. Deswegen sollten wir dringend über diesen Skandal diskutieren.",
22,Lukas | Sieper,NI,EN,256971,256971," – Madam President, according to Rule 124(2) read together with Rule 174(3) of the Rules of Procedure, the proceedings of this Parliament must be public and available in all official languages of the European Union. Yet today the live stream of our debates offers neither sign language nor subtitles. That means millions of deaf and hard of hearing Europeans are effectively excluded from following the democratic process that belongs to them.
The purpose of those Rules is clear: to allow every European citizen to follow our debates as they happen – not by scrolling through the transcripts after the fact, but seeing, hearing and feeling their representatives at work. Our democracy lives from understanding, from the connection between words, expression and gesture.
Therefore, I ask the President and the Bureau, under Rule 174(3), second subparagraph, to instruct DG COMM to ensure that our live streams include either sign language or interpretation and real-time subtitles. For the people who are deaf: we see you!",
24,Pina | Picierno,S-D,IT,124846,124846," – Signora Presidente, onorevoli colleghi, io intervengo per rendere omaggio in quest'Aula al coraggio, alla visione, alla determinazione di una grande europeista, inventrice e madre del programma Erasmus: sto parlando della professoressa Sofia Corradi, che è scomparsa appena qualche giorno fa.
Con la sua determinazione ha reso possibile uno dei programmi più belli, più concreti dell'integrazione europea e ha offerto così a milioni di ragazze e di ragazzi la possibilità di conoscersi, di studiare e di crescere insieme oltre ogni confine. L'Erasmus, lo sappiamo, non è soltanto uno dei programmi più riusciti della nostra Unione europea ma è un'idea di Europa, un'idea di Europa viva, solidale e aperta.
E allora io credo che l'eredità e la memoria della professoressa Corradi continueranno a unire l'Europa e a far crescere i milioni di giovani europei, consapevoli di essere parte indispensabile e importante di una storia unica. Grazie professoressa Corradi.",
