,LIB,PP,LG,MEPID,CODICT,speech,SPEAKER_TYPE
1,Jacek | Ozdoba,ECR,PL,257086,257086,Przewodnicząca przerwała mówcy),
3,Jacek | Ozdoba,ECR,PL,257086,257086," – Pani Przewodnicząca, sytuacja jest nagła. W Polsce spadły drony rosyjskie, a Pani mówi, że w poniedziałek ustalono temat debaty. Jutro dyskutujemy o Kongo, a nie o sytuacji w Polsce. To jest skandaliczne, co pani robi. Jeżeli, jeszcze raz powtórzę, drony spadną w Berlinie również mamy mówić, że temat był ustalony w poniedziałek? To się nie mieści w głowie.",
8,Tomas | Tobé,PPE,EN,197402,197402," – Madam President, Europe needs strong borders and a controlled migration policy. This requires a unified approach with clear and strict rules. Ten years ago, Europe failed to manage the migration crisis. Our laws were ineffective and Europe was fragmented. We cannot keep repeating those mistakes. That is why the adoption of the migration pact in the last mandate was such a crucial step forward, breaking years of political deadlock and enabling us to start taking back control of migration.
But colleagues, let's be honest: if the far right or the far left had had their way, we would not have a common approach. We would still be in the same broken system. I think the citizens can rightfully demand that Europe has a stronger response to migration, and that is why the EPP is committed to protecting our borders, returning those who do not have a right to stay in Europe, and strengthening control.
It is easy to criticise from the sidelines. It is harder to deliver real solutions. But that is what the citizens expect and deserve, and that is what we will keep delivering.",au nom du groupe
9,Ana Catarina | Mendes,S-D,PT,257053,257053," – Senhora Presidente, caros colegas, a primeira nota que quero dar é que este debate é contrário à construção do projeto europeu, contrário aos valores da União Europeia, porque ele é, em si mesmo, um título e um debate — como aqui ouvimos pela apresentação do proponente — que instiga à divisão, ao ódio e ao preconceito, e isso vai contra todos os valores da União Europeia.
E contra as perceções e perante as perceções, aquilo que o proponente aqui veio fazer foi dizer um conjunto de perceções, generalizar situações. Primeiro, o Estado de direito existe para todos, e quem comete crimes, sejam nacionais ou sejam imigrantes, deve ser punido perante a lei e perante o sistema judicial. Segundo, o Eurostat e a OCDE têm dito, ao longo dos tempos, que não há uma ligação direta entre imigração e criminalidade. Terceiro, está provado que, na esmagadora maioria dos Estados, a violência doméstica ou as violações são praticadas essencialmente por nacionais.
Última nota, Senhora Presidente, a imigração irregular baixou 38 % em 2024, o que significa que, perante as perceções, vamos sempre ter os factos e a verdade.",au nom du groupe
10,António | Tânger Corrêa,PfE,PT,257050,257050," – Senhora Presidente, Senhora Comissária, nós, em Portugal, sempre fomos a favor da imigração, sempre tivemos imigração desde a fundação do país, há quase 900 anos.
O que nós queremos é uma imigração regulada e que se integre na vida do país. Não é uma imigração em massa, desregulada, que prejudique Portugal e que prejudique os portugueses — e que prejudique os europeus também, porque também os seus países estão a ser atacados.
Em Portugal, mais de metade dos indivíduos que estão presos são estrangeiros. Em Portugal, mais de metade dos que efetuam violações são estrangeiros. Há muitos lugares no meu país em que as nossas mulheres, as suas filhas não podem andar desacompanhadas. Têm medo, muitas vezes, de sair à rua a partir das 18h00.
Não pode ser assim, isto tem de parar e é já. E tem de parar porque senão não só perdemos as nossas gerações, como perdemos a nossa soberania.",au nom du groupe
11,Laurence | Trochu,ECR,FR,256925,256925," – Madame la Présidente, Lola Daviet, 12 ans, découpée en morceaux par Dahbia Benkired, Algérienne sous obligation de quitter le territoire français (OQTF). Philippine Lenoir, 19 ans, tuée au bois de Boulogne par Taha Oualidat, Marocain sous OQTF. Johanna Blanes, 24 ans, violée et tuée à Mont-de-Marsan par Hussein Ahmed, réfugié syrien. Nadine Devillers, 60 ans, et Simone Barreto Silva, 44 ans, égorgées et poignardées dans la basilique de Nice par un Tunisien arrivé en Europe grâce à une ONG.
Mes chers collègues, ces exemples ne représentent qu'une infime partie des victimes de l'immigration et le refus du réel tue tout autant nos femmes et nos enfants. Cette évidence du lien direct entre immigration et insécurité, plus personne de sensé ne la nie.
Après les viols de Cologne, après les «grooming gangs» du Royaume-Uni, après les attentats de Paris, il se trouve encore des irresponsables politiques, dans cette assemblée notamment, pour fermer les yeux et accuser de racisme ceux qui sonnent le tocsin.
À toutes ces femmes, à toutes ces mères, à toutes ces familles fauchées par la lâcheté, il faudra rendre des comptes. À nos enfants, nous devrons dire ce que nous avons fait ou non pour répondre au principal défi du XXIᵉ siècle.",au nom du groupe
12,Fabienne | Keller,Renew,FR,22858,22858," – Madame la Présidente, Monsieur le Commissaire Kubilius, Madame la Ministre des affaires européennes, chère Marie Bjerre, chers collègues, je répète ce que j'ai dit lundi lors de mon rappel au règlement intérieur: ce débat mis à l'agenda par l'extrême droite est un faux débat, qui instrumentalise les peurs et manipule les chiffres.
Débattons des faits. Contrairement aux obsessions de l'extrême droite, les entrées irrégulières dans l'Union ont baissé de 38 % en un an, vous l'avez rappelé, Madame la Ministre. L'Union européenne agit avec fermeté pour réduire l'immigration illégale tout en accueillant avec humanité ceux qui sont persécutés. Le 15 octobre prochain, vous l'avez rappelé, Monsieur le Commissaire, la Commission va présenter pour la première fois un rapport annuel sur l'asile et sur la situation migratoire. C'est une nouvelle étape dans la mise en œuvre du pacte sur la migration et l'asile, qui entrera pleinement en vigueur dans un an.
J'en appelle donc à l'esprit de responsabilité de cet hémicycle, comme l'a proposé Thomas Tobé à l'instant. Travaillons ensemble à appliquer avec rigueur et fermeté les règles communes du pacte sur la migration et l'asile pour gérer, en Européens, la migration, en respectant les droits fondamentaux des demandeurs d'asile.",au nom du groupe
13,Mélissa | Camara,Verts/ALE,FR,256915,256915," – Madame la Présidente, chers collègues, protéger les femmes et les enfants? Oui, de l'extrême droite.
En Pologne, les restrictions du droit à l'avortement par l'extrême droite ont plongé des milliers de femmes dans la détresse. Certaines en sont mortes parce qu'on leur a refusé d'avorter, même quand leur vie était en danger. Dans la Hongrie de Viktor Orbán, la mortalité maternelle atteint 12 à 15 décès pour 100 000 naissances. C'est deux fois plus que la moyenne de l'Union européenne. Voilà donc votre protection des femmes!
Une lesbienne sur sept a été agressée en Europe. Un tiers des personnes trans passées par les thérapies de conversion a tenté de se suicider. Et partout en Europe, ces tortures ont lieu dans le sillage de votre agenda à la fois transphobe et homophobe. Deux tiers des enfants LGBT sont harcelés à l'école. Qui protège les enfants queers?
Alors, qui menace vraiment les femmes et les enfants en Europe? Celles et ceux qui retirent des droits, ferment les yeux sur les violences et instrumentalisent leur vie pour leur immonde propagande raciste.
Protéger, ce n'est pas exclure. Protéger, c'est garantir la santé, l'égalité et la liberté. Quand l'extrême droite avance, ne soyons pas dupes, nos droits reculent. Et nous, féministes, nous serons toujours là pour défendre nos droits face à l'internationale réactionnaire.",au nom du groupe
15,Irene | Montero,The Left,ES,245770,245770," – Señora presidenta, cuando una mujer denuncia una agresión sexual, ustedes, la extrema derecha, nos llaman locas, mentirosas, putas, «feminazis». Dicen que buscamos fama o dinero, que algo habremos hecho, que vamos provocando y así ningún hombre se puede resistir a violarnos, que la culpa es nuestra por ir borrachas.
Ustedes hablan de denuncias falsas, publican nuestras fotos y la dirección de nuestras casas. Ustedes llaman «divorcio duro» a la violencia de género. Defienden a los maltratadores que ejercen violencia económica, a los que ponen todo su empeño en hacer daño a las madres y darles donde más les duele. Ustedes defienden poner en riesgo a niños y a niñas obligándoles a vivir con sus padres maltratadores.
Ustedes tapan las agresiones sexuales de miles de curas a niños y niñas en España. Ustedes miran para otro lado cuando asesinan a un chico al grito de «maricón». Y ustedes dicen que el problema no es la violencia machista, sino los pobres hombres a los que el feminismo está destrozando la vida con denuncias falsas.
Déjennos en paz: no somos sus mujeres, no somos su propiedad ni un objeto propiedad de nadie. Precisamente, porque se creen que somos su propiedad, nos agreden y nos asesinan diciendo: «La maté porque era mía».
No son las personas migrantes las que nos ponen en peligro. Son ustedes: racistas, machistas y fascistas.",au nom du groupe
16,Ewa | Zajączkowska-Hernik,ESN,PL,257069,257069," – Pani Przewodnicząca! W Niemczech ostatnio imigrant wepchnął szesnastolatkę pod pociąg. Kilka lat temu inny imigrant zabił w ten sam sposób ośmiolatka. W styczniu w Bawarii imigrant zaatakował nożem grupę przedszkolaków. Zabił dwulatka i jego obrońcę. W Polsce tylko w jednym regionie w tym roku zginęło dwoje Polaków od ataków nożem przez imigrantów.
Nielegalna imigracja na teren państw Unii Europejskiej utrzymuje się na bardzo wysokim poziomie. Mamy rocznie kilkaset tysięcy nielegalnych przekroczeń granicy. Państwa nie poradziły sobie z efektami rekordowego roku 2015, kiedy ponad milion osiemset tysięcy osób nielegalnie przekroczyło granicę Unii Europejskiej. Przez ostatnie 10 lat nie ma rozliczeń politycznych za tę katastrofę, za rosnące zagrożenia dla strefy Schengen i istotne powiązania przemytników z lewicowymi organizacjami pozarządowymi.
Ile żyć musi jeszcze zostać poświęconych, żeby lewicowy mainstream nie wspierał obecnej patologii? Dlatego czas najwyższy powołać komisję śledczą Parlamentu Europejskiego do spraw nielegalnej imigracji w Unii Europejskiej, by wyjaśnić, dlaczego Unia Europejska nie chce poradzić sobie z masową legalną i nielegalną imigracją.",au nom du groupe
