,name,PP,speech,summary,translation
0,Lena   Düpont,PPE,".
Denn richtig gemacht, kann gut gesteuerte legale Migration eine Schlüsselkomponente für unsere Wirtschaft sein, wenn und da sie auf die Bedürfnisse des Arbeitsmarktes und den Fachkräftemangel reagiert.
Dabei sind für uns drei Dinge wesentlich: Der Mitgliedstaat entscheidet über Art und Umfang der Zuwanderung. Der Arbeitsmarkt gibt die Kriterien und den Bedarf vor. Das kann neben den hochqualifizierten Fachkräften und Unternehmern auch andere Kriterien und andere Qualifikationen umfassen. Uns fehlen eben in einigen Bereichen nicht nur Ärzte und Ingenieure, sondern auch Arbeitskräfte in der Landwirtschaft, dem Baugewerbe oder der Gesundheitsversorgung.
Entscheidend dafür: Angebot und Nachfrage müssen besser in Einklang gebracht werden. Der talent pooltalent partnerships
Und Drittens: Legale Migration kann und muss ein integraler Bestandteil in der Zusammenarbeit mit Drittstaaten sein, und zwar sowohl im positiven als auch gegebenenfalls im negativen Sinne. Der talent pool talent partnerships
Wenn wir unseren Wohlstand und unsere Innovationskraft erhalten wollen, dürfen wir im globalen Wettbewerb den Anschluss nicht verlieren, und im Moment ist genau das der Fall. Die Vereinigten Staaten, Kanada und Australien sind uns im Werben um die Klügsten und um die Talentiertesten einen großen Schritt voraus.
Mit diesem Bericht heute machen wir die Europäische Union gemeinsam fitter für die Zukunft. Ich danke der Berichterstatterin und den Schattenberichterstattern für die tolle Arbeit.","This text argues that well-managed legal migration is essential for the EU's economy, particularly to address labor market needs and skill shortages.

It outlines three key principles:
1.  **Member states** determine the type and extent of immigration.
2.  The **labor market** defines the criteria and demand, encompassing not only highly qualified professionals (like doctors and engineers) but also workers in sectors such as agriculture, construction, and healthcare.
3.  **Legal migration** must be an integral part of cooperation with third countries, involving both positive incentives and, if necessary, negative consequences.

The text emphasizes the importance of better aligning labor supply and demand (through initiatives like talent pools and partnerships). It warns that the EU is currently falling behind global competitors like the United States, Canada, and Australia in attracting talent, which threatens its prosperity and innovation. The report mentioned aims to make the European Union more competitive and future-ready in this global talent race.","Because, when done right, well-managed legal migration can be a key component for our economy, if and as it responds to the needs of the labor market and the shortage of skilled workers.
Three things are essential for us here: The Member State decides on the type and extent of immigration. The labor market sets the criteria and the demand. This can include, besides highly qualified skilled workers and entrepreneurs, other criteria and other qualifications. Indeed, in some areas, we are not just lacking doctors and engineers, but also workers in agriculture, construction, or healthcare.
Crucial for this: Supply and demand must be better aligned. The talent pool talent partnerships
And thirdly: Legal migration can and must be an integral part of cooperation with third countries, both in a positive and, where appropriate, in a negative sense. The talent pool talent partnerships
If we want to maintain our prosperity and our innovative strength, we must not lose ground in global competition, and right now, that is exactly what is happening. The United States, Canada, and Australia are a big step ahead of us in attracting the brightest and most talented.
With this report today, we are collectively making the European Union fitter for the future. I thank the rapporteur and the shadow rapporteurs for their excellent work."
1,Cyrus   Engerer,S-D,".
Flimkien man-negozjaturi tal-gruppi politiċi kollha, rajna kif flimkien nistgħu noħorġu bl-aktar proposti b'saħħithom biex nindirizzaw mhux biss il-bżonnijiet tal-Unjoni Ewropea llum, iżda l-bżonnijiet tal-Unjoni Ewropea tal-futur. Għalhekk qegħdin, mhux biss nitolbu lill-Kummissjoni Ewropea, iżda qegħdin hawnhekk inressqu aħna stess sett ta' proposti b'viżjoni fit-tul u li jkunu future-proof. Irridu Unjoni Ewropea aktar b'saħħitha. Unjoni Ewropea ambizzjuża. Unjoni Ewropea kuraġġjuża li ma tieqaf qatt tinbidel. Unjoni Ewropea bl-aktar talent possibbli li teċċella fl-oqsma kollha. Unjoni Ewropea li tkompli tikber u mhux biss li tibda tipprepara biex tiċkien.
Qed ngħid dan għaliex illum għandna sfida kbira quddiemna: ħwienet, ristoranti, fabbriki, sptarijiet, skejjel li mhux qegħdin isibu biżżejjed ħaddiema biex joffru s-servizzi kollha tagħhom. F'Malta, pajjiżi, smajt il-karba ta' diversi intraprendituri żgħar, jiġi f'moħħi pereżempju żagħżugħ bħal Sean Gravina li investa l-ħin kollu tiegħu biex joħloq dak li dejjem ħolom dwaru, biex isib issa ħajt mingħajr ħaddiema li jista' jħaddem. Smajt ukoll l-inkwiet ta' dawk illi jmexxu l-isptarijiet illi, minkejja li waqt il-pandemija diversi infermiera u tobba barranin, flimkien ma' dawk lokali, żammew l-isptarijiet tagħna għaddejjin, qed jaraw li l-Ewropa ma għadhiex attraenti għalihom u li dawn qed jiċċaqalqu għal bnadi oħra tad-dinja.
Kif qal il-Kummissarju, semmejt Unjoni Ewropea li trid tkompli tikber u mhux tipprepara biex tibda tiċkien għaliex għandna realtà kiefra. Aħna l-iktar kontinent li qiegħed jixjieħ. Soċjetà li qiegħda tikber fl-età u li mhux se tibqa' produttiva kif nafuha llum. Għandna bżonn nattiraw it-talent lejn xtutna u dan għandna nagħmluh b'mod li ma jipperikolax il-ħajja ta' dawk li jkunu ġejjin fl-Ewropa biex jikkontribwixxu għax-xogħol.
Għaliex li ma nindirizzawx is-sitwazzjoni preżenti, ma jfissirx li ma jkollniex ħaddiema minn pajjiżi minn barra l-Unjoni Ewropea, iżda jfisser li dawn il-ħaddiema jiġu b'mod irregolari, probabbilment jispiċċaw jaħdmu b'mod mhux iddikjarat u nkunu qegħdin inħallu l-istandards tal-protezzjoni tal-ħaddiema jitkaxkru mal-art b'esplojtazzjoni inaċċettabbli.
Għalhekk inħares 'il quddiem għall-proposti li ġejjin mill-Kummissjoni Ewropea f'dan ir-rigward ħalli, bħala Unjoni Ewropea, nilħqu l-ambizzjonijiet kollha tagħna.","The text advocates for a stronger, more ambitious, and growing European Union that actively attracts talent and adapts to change, rather than preparing to shrink. The speaker, presenting their own future-proof proposals, highlights a critical challenge: a widespread labor shortage affecting various sectors like retail, restaurants, factories, hospitals, and schools. This is causing businesses to struggle and Europe to lose foreign talent, particularly in healthcare.

The core reason for this situation is Europe's rapidly aging population, which threatens future productivity. The speaker emphasizes the necessity of safely attracting talent to the EU. Failing to address this proactively, the text warns, will lead to an increase in irregular migration, undeclared work, unacceptable exploitation, and a degradation of worker protection standards. The speaker looks forward to the European Commission's proposals to help the EU achieve its ambitions in this regard.","Together with the negotiators of all political groups, we have seen how together we can come up with the strongest proposals to address not only the needs of the European Union today, but the needs of the European Union of the future. Therefore, we are not only asking the European Commission, but we are here to present our own set of proposals with a long-term vision and that are future-proof. We want a stronger European Union. An ambitious European Union. A courageous European Union that never stops changing. A European Union with the greatest possible talent that excels in all areas. A European Union that continues to grow and not just starts preparing to shrink.

I am saying this because today we have a great challenge before us: shops, restaurants, factories, hospitals, schools that are not finding enough workers to offer all their services. In Malta, my country, I have heard the cry of various small entrepreneurs; for example, a young man like Sean Gravina comes to mind, who invested all his time to create what he always dreamed of, only to now find a wall without workers he can employ. I have also heard the concerns of those who run hospitals who, despite several foreign nurses and doctors, along with local ones, keeping our hospitals running during the pandemic, are now seeing that Europe is no longer attractive to them and that they are moving to other parts of the world.

As the Commissioner said, I mentioned a European Union that must continue to grow and not prepare to start shrinking because we have a harsh reality. We are the continent that is aging the most. A society that is growing in age and that will not remain as productive as we know it today. We need to attract talent to our shores, and we must do this in a way that does not endanger the lives of those who come to Europe to contribute to work.

Because not addressing the current situation does not mean that we will not have workers from outside the European Union, but it means that these workers will come irregularly, probably end up working undeclared, and we will be allowing worker protection standards to be dragged through the mud with unacceptable exploitation.

Therefore, I look forward to the proposals coming from the European Commission in this regard so that, as the European Union, we can achieve all our ambitions."
2,Fabienne   Keller,Renew,".
En effet, certains secteurs clés de notre économie ont un besoin important de main-d’œuvre. Des domaines essentiels sont d’ailleurs déjà occupés par des travailleurs de pays tiers. Cela a été dit, ils représentent par exemple 5 % des soignants au sein de l’Union.
Nos propositions visent aussi à réduire les disparités entre les États membres en matière, d’une part, d’accès au marché du travail et, d’autre part, d’attractivité pour les talents venus de pays tiers, et ce, en respectant pleinement la compétence des États membres dans ce domaine.
Avec ce texte, nous appelons la Commission (mais vous nous avez dit qu’elle allait le faire, Monsieur le Commissaire) à soumettre des propositions législatives pour mieux harmoniser les conditions d’entrée des travailleurs étrangers dans l’Union européenne. Et je vous propose aussi, Monsieur le Commissaire, d’envisager des programmes de coopération pour la formation des talents que nous recrutons, dans les pays tiers d’où ils viennent. Cette migration légale est un objectif central pour l’attractivité et la compétitivité de l’Union européenne.","This text highlights the significant labor needs in key EU economic sectors, noting that essential areas already rely on workers from third countries (e.g., 5% of EU healthcare workers).

It proposes reducing disparities among member states regarding market access and attractiveness for foreign talent. The speaker calls on the European Commission to submit legislative proposals to better harmonize entry conditions for foreign workers into the EU. Additionally, it suggests exploring cooperation programs for training these talents in their countries of origin. The overarching goal is that legal migration is crucial for the EU's attractiveness and competitiveness.","Indeed, some key sectors of our economy have a significant need for labor. Essential fields are already occupied by workers from third countries. This has been stated: they represent, for example, 5% of healthcare workers within the Union.

Our proposals also aim to reduce disparities between Member States concerning, on the one hand, access to the labor market and, on the other hand, attractiveness for talents from third countries, while fully respecting the competence of Member States in this area.

With this text, we call on the Commission (but you told us it would do so, Commissioner) to submit legislative proposals to better harmonize the entry conditions for foreign workers into the European Union. And I also propose, Commissioner, to consider cooperation programs for training the talents we recruit, in the third countries from which they come. This legal migration is a central objective for the attractiveness and competitiveness of the European Union."
3,Alice   Kuhnke,Verts/ALE,".
Bristen på lagliga vägar, särskilt för migranter som jobbar i medel- eller låglönesektorer, i kombination med allt fler stängda gränser och restriktiv migrationspolitik tvingar människor till livshotande resor för att nå drömmar om jobb under säkra förhållanden till skälig betalning. Den gröna gruppen välkomnar därför betänkandet som lagts fram av vår kollega Abir Al-Sahlani.
Om betänkandets krav blir verklighet kommer det med tydlighet att förbättra villkoren för migranter som kommer till EU för att arbeta. Vi har dock lagt fram ett ändringsförslag för att få med behovet av ett intersektionellt perspektiv på migrationslagstiftningen. Arbetskraftsinvandrare är inte en homogen grupp, och vi vet att till exempel kvinnor är särskilt utsatta och riskerar att utnyttjas. Den som inte ställer sig bakom Al-Sahlanis betänkande accepterar att människor utnyttjas med livet som insats. Jag hoppas att vi är många som vill se en förändring.","The text highlights that the lack of legal pathways, increasingly closed borders, and restrictive migration policies force migrants, especially those in middle- and low-wage sectors, into life-threatening journeys in pursuit of safe, fairly paid work.

The Green Group welcomes a report by their colleague Abir Al-Sahlani, believing that its demands, if implemented, would significantly improve conditions for working migrants in the EU. They have, however, proposed an amendment to incorporate an intersectional perspective into migration legislation, stressing that labor migrants are not a homogenous group and that women, for example, are particularly vulnerable to exploitation. The author concludes by stating that not supporting Al-Sahlani's report means accepting the exploitation of people whose lives are at stake, expressing hope for widespread desire for change.","The lack of legal pathways, especially for migrants working in middle- or low-wage sectors, combined with increasingly closed borders and restrictive migration policies, forces people into life-threatening journeys to achieve their dreams of jobs under safe conditions and fair pay. The Green Group therefore welcomes the report presented by our colleague Abir Al-Sahlani.

If the demands in the report become reality, it will clearly improve the conditions for migrants coming to the EU to work. However, we have submitted an amendment to include the need for an intersectional perspective on migration legislation. Labour migrants are not a homogenous group, and we know that, for example, women are particularly vulnerable and at risk of exploitation. Anyone who does not support Al-Sahlani's report accepts that people are exploited with their lives at stake. I hope that many of us want to see a change."
4,Peter   Kofod,ID,".
Jeg må sige, jeg er godt nok chokeret. Kommissæren chokerer mig dog mest. Europa er et aldrende kontinent. Men ... hallo! Jeres indvandring giver jo underskud. ""Vi er alle migranter"", siger kommissæren. Det er noget sludder. Og så slutter kommissæren med at sige: ""Migranter skal respektere vores værdier"". Ja, selvfølgelig skal de det. Men det er da lidt sent at komme og sige det. Se på Sverige. Se på Belgien. Se på forstæderne i Frankrig.
Det her, det er 20 år for sent. Det er for lidt, og det er for dårligt. Vi vil ikke have jeres indvandring. Vi vil have sikre grænser, og vi vil ikke have flere ufaglærte migranter, som ikke kan bidrage til dette kontinent.","Teksten udtrykker chok og utilfredshed, især rettet mod en europæisk kommissærs udtalelser om indvandring. Taleren mener, at indvandringen i Europa medfører underskud, og afviser kommissærens udsagn om, at ""vi er alle migranter"", som noget sludder. Mens man er enig i, at migranter skal respektere lokale værdier, kritiseres det, at dette budskab kommer for sent, med henvisning til situationen i Sverige, Belgien og franske forstæder. Teksten konkluderer med en stærk afvisning af den nuværende indvandringspolitik og et krav om sikre grænser samt en afvisning af flere ufaglærte migranter, der ikke kan bidrage til kontinentet.","I must say, I am quite shocked. The commissioner, however, shocks me the most. Europe is an aging continent. But... hello! Your immigration is causing a deficit. ""We are all migrants,"" says the commissioner. That's nonsense. And then the commissioner concludes by saying: ""Migrants must respect our values."" Yes, of course they must. But it's a bit late to come and say that. Look at Sweden. Look at Belgium. Look at the suburbs in France.
This, this is 20 years too late. It's too little, and it's too bad. We don't want your immigration. We want secure borders, and we don't want more unskilled migrants who cannot contribute to this continent."
5,Charlie   Weimers,ECR,".
Considering that this report concerns low— and medium—skilled labour migration, that sounds like EU speak for legalising illegal migration. Is the European Parliament’s solution to Turkey and Morocco opening the floodgates? Let them in? To Belarus, weaponising migrants? Let them in?
Now, hundreds of millions of people wish to come to Europe if given the opportunity. Such volumes will only exacerbate unemployment, stagnant wages, not to mention that migrants with incompatible cultures will bring about even less social cohesion. It’s not just last night in Sweden, it’s last night in Amsterdam, it’s last night in Paris.
European leaders seem to have finally smelt the coffee. They realise that we’re losing control. President Michel has called for EU funding of external border barriers. President von der Leyen praised Greece for being Europe’s shield. Even Commissioner Johansson acknowledged that Lithuania’s border barrier is a good idea.
We, conservatives, opposed this report. If you want to take back control, then you should too.","This speaker criticizes an EU report on low- and medium-skilled labor migration, interpreting it as a move to legalize illegal migration. They express alarm over the prospect of mass migration from countries like Turkey, Morocco, and Belarus, warning that such an influx would exacerbate unemployment, depress wages, and reduce social cohesion due to ""incompatible cultures,"" citing recent incidents across Europe.

However, the speaker notes a perceived shift among European leaders, who now seem to be acknowledging a loss of control. They point to President Michel's call for EU funding for external border barriers, President von der Leyen's praise for Greece as Europe's shield, and Commissioner Johansson's approval of Lithuania's border barrier.

As conservatives, the speaker states their opposition to the report and urges others to oppose it to ""take back control.""","Considering that this report concerns low— and medium—skilled labour migration, that sounds like EU speak for legalising illegal migration. Is the European Parliament’s solution to Turkey and Morocco opening the floodgates? Let them in? To Belarus, weaponising migrants? Let them in?
Now, hundreds of millions of people wish to come to Europe if given the opportunity. Such volumes will only exacerbate unemployment, stagnant wages, not to mention that migrants with incompatible cultures will bring about even less social cohesion. It’s not just last night in Sweden, it’s last night in Amsterdam, it’s last night in Paris.
European leaders seem to have finally smelt the coffee. They realise that we’re losing control. President Michel has called for EU funding of external border barriers. President von der Leyen praised Greece for being Europe’s shield. Even Commissioner Johansson acknowledged that Lithuania’s border barrier is a good idea.
We, conservatives, opposed this report. If you want to take back control, then you should too."
6,Pernando   Barrena Arza,The Left,".
However, we believe it’s time to stop seeing labour migration only as a solution to current socioeconomic problems based only on the immediate needs of employers. We must understand this in a broader system which takes into account a number of criteria. Also, in the case of asylum seekers and undocumented workers, they must have access to employment and the same labour rights, ensuring swift action to regularise their status and prevent exploitation at their place of work.
Creating safe and legal pathways is the only way to reduce reliance on unsafe and irregular routes. It’s essential to protect and prioritise vulnerable groups such as children, women and LGBTIQ persons, as it is these groups who suffer the most. We need real, actual and ambitious policies to make the Union strong and a place where human rights matter.","The text advocates for a broader understanding of labour migration, moving beyond solely addressing employers' immediate needs. It stresses the importance of granting asylum seekers and undocumented workers access to employment and labour rights, ensuring swift regularization to prevent exploitation. Creating safe and legal pathways is crucial to reduce reliance on irregular routes and protect vulnerable groups such as children, women, and LGBTIQ persons. Ultimately, it calls for ambitious, human rights-centred policies to strengthen the Union.","However, we believe it’s time to stop seeing labour migration only as a solution to current socioeconomic problems based only on the immediate needs of employers. We must understand this in a broader system which takes into account a number of criteria. Also, in the case of asylum seekers and undocumented workers, they must have access to employment and the same labour rights, ensuring swift action to regularise their status and prevent exploitation at their place of work.
Creating safe and legal pathways is the only way to reduce reliance on unsafe and irregular routes. It’s essential to protect and prioritise vulnerable groups such as children, women and LGBTIQ persons, as it is these groups who suffer the most. We need real, actual and ambitious policies to make the Union strong and a place where human rights matter."
7,Balázs   Hidvéghi,NI,"– Tisztelt Elnök Úr! Képviselőtársaim! Az Európai Parlament mai jelentése egy újabb példája annak az erkölcstelenségnek, ami már jó ideje folyik itt ebben a Házban. Önök álszent módon az emberi jogok védelmezőinek tüntetik fel magukat, miközben a szegény országok kiszipolyozását erőltetik ezekben a jelentésekben. Azt állítják, hogy a bevándorlás mindenkinek jó, hogy gazdaságilag előnyös, és hogy ezzel kifejezetten segítsük a szegény országokat is. Mindez szemenszedett hazugság. Pont az ellenkezője az igaz. A tömeges bevándorlással, ami a kibocsátó országokból kivándorlást jelent, mindenki veszít. Európa számára jelentős anyagi költségeket jelent és veszélyezteti az európai kultúrát is, amit szemben sokakkal itt ebben a Házban, az európai emberek nem akarnak feladni.
Az elmaradottabb és szegényebb országok és kontinensek számára pedig nem jelent mást, mint kisemmizést. Ha Európa valóban segíteni akar ezeken a régiókon, akkor nem a legképzettebb munkaerőt kell elszívni onnan. Nem ezt kell erőltetni. Sokkal inkább a segítséget kellene odavinni, ahol a baj van. Gazdasági beruházásokkal, infrastrukturális fejlesztésekkel vagy humanitárius segítséggel ott kell segíteni egy jobb élet reményének megteremtésében.","The speaker strongly criticizes a recent European Parliament report, calling it immoral and hypocritical. They reject the Parliament's claims that migration is economically beneficial and helps poor countries, labeling it a ""blatant lie.""

Instead, the speaker argues that mass migration results in losses for everyone:
*   **For Europe:** It entails significant financial costs and endangers European culture.
*   **For poorer countries:** It leads to impoverishment by draining their most skilled workforce.

The speaker concludes that if Europe truly wishes to help these regions, it should not encourage migration but rather provide assistance directly where it's needed through economic investments, infrastructure development, and humanitarian aid.","Mr. President, my fellow Members of Parliament! Today's report by the European Parliament is another example of the immorality that has been going on here in this House for quite some time. You hypocritically portray yourselves as defenders of human rights, while in these reports, you push for the exploitation of poor countries. You claim that immigration is good for everyone, that it is economically beneficial, and that it specifically helps poor countries as well. All of this is an outright lie. The exact opposite is true. With mass immigration, which means emigration from the sending countries, everyone loses. For Europe, it means significant financial costs and also threatens European culture, which, unlike many here in this House, the European people do not want to give up.
And for the more underdeveloped and poorer countries and continents, it means nothing less than ruination. If Europe truly wants to help these regions, then it should not drain away their most skilled workforce. This is not what should be encouraged. Rather, help should be brought to where the problems are. With economic investments, infrastructural developments, or humanitarian aid, help must be provided there to create the hope of a better life."
8,Geoffroy   Didier,PPE,"– Monsieur le Président, ceux qui font croire à l’immigration zéro trompent et mentent au peuple, car dans les faits, ça n’existe pas. Mais ceux qui laissent entrer n’importe qui et n’importe comment desservent le peuple, car nous le savons, l’immigration incontrôlée est le meilleur carburant de la xénophobie. Voici une solution et une méthode.
La solution est de laisser chaque pays décider librement du nombre d’immigrés légaux qu’il fait entrer sur son territoire. Cette décision ne doit pas revenir à l’Europe. Elle doit appartenir à chaque pays souverain.
Une méthode: le parlement de chaque pays doit pouvoir voter démocratiquement des plafonds annuels de visas selon des facteurs qu’il déterminera lui-même. Par exemple, zéro visa aux pays sources qui refusent de reprendre sur leur sol leurs clandestins.
Choisir son immigration, c’est pour chaque pays et donc pour l’ensemble de l’Union européenne la seule manière d’agir avec bon sens, fermeté et humanité.","The speaker argues against both the unrealistic promise of ""zero immigration"" and the dangers of uncontrolled immigration, which he states fuels xenophobia.

The proposed solution is for each sovereign country, rather than the EU, to freely determine the number of legal immigrants it admits. The suggested method involves national parliaments democratically voting on annual visa caps, based on criteria they define themselves. An example given is denying visas to source countries that refuse to take back their undocumented citizens.

This approach is presented as the only sensible, firm, and humane way for individual countries, and thus for the entire European Union, to manage immigration.","– Mr. President, those who promote the idea of zero immigration deceive and lie to the people, because in reality, it doesn't exist. But those who let anyone in, in any way, disserve the people, because we know that uncontrolled immigration is the best fuel for xenophobia. Here is a solution and a method.
The solution is to let each country freely decide the number of legal immigrants it allows onto its territory. This decision should not fall to Europe. It must belong to each sovereign country.
A method: the parliament of each country must be able to democratically vote on annual visa caps according to factors it determines itself. For example, zero visas to source countries that refuse to take back their undocumented migrants onto their soil.
Choosing its immigration is, for each country and therefore for the entire European Union, the only way to act with common sense, firmness, and humanity."
9,Sylvie   Guillaume,S-D,"– Monsieur le Président, ouvrir des voies légales contrôlées et sécurisées est une des conditions pour mettre en œuvre une politique migratoire mature et digne de notre Union. C’est un signal que je veux adresser à tous les apprentis sorciers qui, dans plusieurs États membres, dont le mien, se lancent dans l’inventaire de l’idée et de la surenchère la plus stupide et inflammatoire.
À plusieurs reprises, notamment avec mon rapport sur la migration et le travail voté en mai, avec l’adoption de la carte bleue, et maintenant avec ce rapport, nous avons montré que parler de migration ne doit pas être synonyme de chaos, de désespoir ou d’instrumentalisation.
Une politique migratoire établissant des voies légales et sécurisées vers l’UE est possible pour combler le manque de main-d’œuvre dans des secteurs clés et pour offrir des voies sûres à ceux et celles qui souhaitent rejoindre notre continent. Je me réjouis d’ailleurs de l’intérêt porté dans ce rapport aux conditions des travailleurs peu ou moyennement qualifiés qui sont souvent oubliés par la législation et les victimes les plus vulnérables face aux réseaux des passeurs.
Cependant, l’approche sectorielle de la migration du travail ne constitue pas une panacée. Nous devons voir plus loin et travailler à l’élaboration d’un code de migration unique définissant des règles générales d’entrée et de séjour dans nos États membres. Ceci pourrait être une belle avancée et une belle ambition pour l’avenir.","The speaker advocates for establishing legal, controlled, and secure pathways for migration as a fundamental component of a mature and dignified EU migration policy. This is presented as a direct counter to what they describe as stupid and inflammatory anti-immigrant rhetoric from certain member states.

Drawing on previous work, the speaker argues that migration can be managed constructively, addressing labor shortages in key sectors and offering safe routes for those seeking to join the EU, particularly focusing on protecting vulnerable low and medium-skilled workers from smugglers. While acknowledging the value of sectoral approaches, the speaker ultimately proposes a more ambitious future: a comprehensive, unique EU migration code that defines general rules for entry and residency across all member states.","– Mr. President, opening controlled and secure legal pathways is one of the conditions for implementing a mature migration policy worthy of our Union. This is a signal I want to send to all the sorcerer's apprentices who, in several Member States, including my own, are engaging in the most stupid and inflammatory rhetoric and one-upmanship.
On several occasions, particularly with my report on migration and work voted in May, with the adoption of the Blue Card, and now with this report, we have shown that talking about migration must not be synonymous with chaos, despair, or instrumentalization.
A migration policy establishing legal and secure pathways to the EU is possible to fill labor shortages in key sectors and to offer safe pathways to those who wish to join our continent. I am also pleased by the attention paid in this report to the conditions of low- and medium-skilled workers, who are often overlooked by legislation and are the most vulnerable victims facing smuggler networks.
However, the sectoral approach to labor migration does not constitute a panacea. We must look further and work towards developing a single migration code defining general rules for entry and stay in our Member States. This could be a great step forward and a great ambition for the future."
